# RUN_QUEUE_RESOLVED.csv - GENERATED FILE (DO NOT EDIT MANUALLY)
# Generated: 2026-01-21T22:51:47Z
# Source of truth: reports/path1/evidence/INDEX.md
# This file reconciles queue intent with actual execution ledger.
#
intent_run_id,symbol,requested_date_start,requested_date_end,completed,executed_run_id,executed_date_start,executed_date_end,n_observations,index_line,was_substituted
,GBPUSD,,,true,p1_20260120_001,2024-01-08,2024-01-12,48,11,unknown
,GBPUSD,,,true,p1_20260120_002,2023-12-18,2023-12-22,60,12,unknown
,GBPUSD,,,true,p1_20260120_003,2023-12-11,2023-12-15,60,13,unknown
p1_20260120_004,GBPUSD,2023-12-04,2023-12-08,true,p1_20260120_004,2023-12-04,2023-12-08,60,14,false
p1_20260120_005,GBPUSD,2023-11-27,2023-12-01,true,p1_20260120_005,2023-11-27,2023-12-01,60,15,false
p1_20260120_006,GBPUSD,2023-11-20,2023-11-24,true,p1_20260120_006,2023-11-20,2023-11-24,60,16,false
p1_20260120_007,GBPUSD,2023-11-13,2023-11-17,true,p1_20260120_007,2023-11-13,2023-11-17,60,17,false
p1_20260120_008,GBPUSD,2023-11-06,2023-11-10,true,p1_20260120_008,2023-11-06,2023-11-10,59,18,false
p1_20260120_009,GBPUSD,2023-10-30,2023-11-03,true,p1_20260120_009,2023-10-30,2023-11-03,59,19,false
p1_20260120_010,GBPUSD,2023-10-23,2023-10-27,true,p1_20260120_010,2023-10-23,2023-10-27,59,20,false
p1_20260120_011,GBPUSD,2023-10-16,2023-10-20,true,p1_20260120_011,2023-10-16,2023-10-20,59,21,false
p1_20260120_012,GBPUSD,2023-10-09,2023-10-13,true,p1_20260120_012,2023-10-09,2023-10-13,59,22,false
p1_20260120_013,GBPUSD,2023-10-02,2023-10-06,true,p1_20260120_013,2023-10-02,2023-10-06,59,23,false
p1_20260120_014,GBPUSD,2023-09-25,2023-09-29,true,p1_20260120_014,2023-09-25,2023-09-29,59,24,false
p1_20260120_015,GBPUSD,2023-09-18,2023-09-22,true,p1_20260120_015,2023-09-18,2023-09-22,59,25,false
p1_20260120_016,GBPUSD,2023-09-11,2023-09-15,false,,,,,,false
p1_20260120_017,GBPUSD,2023-09-04,2023-09-08,false,,,,,,false
p1_20260120_018,GBPUSD,2023-08-28,2023-09-01,false,,,,,,false
p1_20260120_019,GBPUSD,2023-08-21,2023-08-25,false,,,,,,false
p1_20260120_020,GBPUSD,2023-08-14,2023-08-18,false,,,,,,false
p1_20260120_021,GBPUSD,2023-08-07,2023-08-11,false,,,,,,false
p1_20260120_022,GBPUSD,2023-07-31,2023-08-04,false,,,,,,false
p1_20260120_023,GBPUSD,2023-07-24,2023-07-28,false,,,,,,false
p1_20260120_024,GBPUSD,2023-07-17,2023-07-21,false,,,,,,false
p1_20260120_025,GBPUSD,2023-07-10,2023-07-14,false,,,,,,false
p1_20260120_026,GBPUSD,2023-07-03,2023-07-07,false,,,,,,false
p1_20260120_027,GBPUSD,2023-06-26,2023-06-30,false,,,,,,false
p1_20260120_028,GBPUSD,2023-06-19,2023-06-23,false,,,,,,false
p1_20260120_029,GBPUSD,2023-06-12,2023-06-16,false,,,,,,false
p1_20260120_030,GBPUSD,2023-06-05,2023-06-09,false,,,,,,false
